desc,reduced_topic_id
"  Borrower added on 03/16/10 > We are a company that focuses on Residential, Commercial and Recreational coatings that will enhance our customers satisfaction. We only use the best coatings for our clients and ensure timely return to service.<br/>Provide Cost Savings<br/>Impermeable and anti-microbial surface makes floors easier to maintain. Incur lower application costs with faster cure time and reduced downtime. <br/>Enhance Your Image<br/>100% UV clear topcoats and UV stable pigmented coatings & stains provide for a rich and long lasting finish that will not fade, yellow or peel. <br/>Adhesion is Paramount to our Performance<br/>Patented technology was designed to effectively absorb into the concrete or steel substrate in order to bond both mechanically and chemically within the pores of the material. A fundamental component differentiating our us from other products, this technology allows for maximum adhesion surface area and is the cornerstone of our superior performance. <br/>Chemical Resistance<br/>Resistant to a wide range of commercial and industrial chemicals. Full resistance to Skydrol and other highly corrosive fluids. <br/>All Climate Application<br/>No limitations for minimum cure temperatures. We can be applied in temperatures as low as thirty degrees below zero. <br/>Traction<br/>Our coatings and stains can be used in higher traffic areas where traction is key. This is achieved in conjunction with a quartz or silica additive within the coating process.<br/><br/>Thank you for your consideration<br/> Borrower added on 03/17/10 > As a Regional Manager for Line-X, I travel extensively and Iâm ready to make a change. I work with 42 franchises across four states and have come to appreciate the endless possibilities of having a thin build coating as well as a thick build coating. I apologize for not having a better description of what the loan would be used for, it would go towards the following:<br/>MK Floor Grinder, 4â Hand Grinder, 7âHand Grinder, 75FT 220V Extension Cord, Jiffy Mixer, Wagner Gun, Diamond Cup Wheel Replacements for the 4â, 7â and the floor grinder. Development of our website, Direct Marketing for a 25 mile radius and a used cargo or step van that will have a vinyl wrap for mobile marketing. <br/>Please let me know if you have any further questions, I would be more than happy to answer them.<br/>Respectfully,<br/>Eric<br/>",38
"  Borrower added on 07/10/12 > My goal is to consolidate my debt, have one low interest rate and raise my credit score in order to possibly purchase a home in the next year.<br>",-1
  Borrower added on 12/26/12 > To pay off all credit cards and one car. This will leave me with a home payment of $396 a month and one car payment of $465. This will be a great start to save money.<br><br>  Borrower added on 12/29/12 > By consolidation I will save $600 a month after this loan is paid each month.<br>,-1
  Borrower added on 10/23/12 > debt consolidation and home improvement<br>,2
  Borrower added on 09/07/13 > High interest credit card debt consolidation<br>,0
  Borrower added on 01/03/12 > Down payment on a home.<br><br> Borrower added on 01/03/12 > Down payment on a home.<br><br>  Borrower added on 01/03/12 > The job I have is stable due to the fact that I am the only one available that has the specialized experience required to fulfill job duties. I have payed numerous loans in the past and normally do so early.<br>,26
  Borrower added on 02/13/12 > Debt Consolidation<br><br>  Borrower added on 02/16/12 > Debt consolidation.<br>,2
  Borrower added on 03/08/13 > I appreciate your help!  With this loan I will consolidate debt and be out of debt in 3 years.  I have never made a payment late.<br>,1
" To Whom It May Concern,  I am applying for the following consolidation loan to gain financial freedom from my current credit cards high interest rates and debt.  The loan will not cover all three credit cards, however, I would like to combine the two high interest rate cards and use the remainder funds to pay off a portion of the third card.  Citicard: 29.99% - 8,293.46 Juniper: 19.24% - 2,249.71 Chase: 0% - 3,013.13  Please let me know if I need to provide any other information.  Thank you!",-1
  Borrower added on 01/08/12 > just trying to get my payments into one payment instead of six.<br><br>  Borrower added on 01/12/12 > I have not been late on any of my payments.<br>,1
  Borrower added on 07/10/13 > To payoff credit card and do home improvements<br>,-1
  Borrower added on 01/06/11 > Loan will be used to start a small business.<br/>,1
"  Borrower added on 07/25/13 > I am requesting this loan, to pay off my credit cards that I currently have. I make payments without seeing any difference in my balance. I been looking for this type of loan for some time. thank you<br>",1
  Borrower added on 02/05/14 > Help with paying  property taxes<br><br> Borrower added on 02/05/14 > Pay off property taxes.<br><br> Borrower added on 02/05/14 > Due to the death of both parents.  I need to pay proprety taxes on land and house tax<br><br> Borrower added on 02/05/14 > Pay off property taxes<br>,29
  Borrower added on 12/31/13 > My loan will pay off some higher interest credit card debt and assist me in raising my credit score. I would like to list my home and buy a new one within the year and can do this with a better credit score by reducing my total debt.  Thank you for your consideration.<br>,-1
  Borrower added on 10/07/13 > pay of my credit card and do some ussines<br>,3
  Borrower added on 12/29/13 > pay off high interest credit cards<br>,3
"  Borrower added on 02/14/11 > Pay off high interest rate credit cards.<br/> Borrower added on 02/14/11 > Pay off high interest rate credit cards. Have credit score of 712.  Monthly income is retirement income from Railroad Retirement, Social Security, Burlington Northern Santa Fe company employee pension and Federal retirement payment,  Have credit history of making payments on time.<br/>",3
"  Borrower added on 06/04/12 > I would like to make some minor improvements to my home such as replace carpet, update faucets, and possibly install a lawn sprinkler system.<br>",-1
  Borrower added on 10/02/13 > DEBT CONSOLIDATION<br>,2
"I want to consolidate debt and free up money for going back to school. My employer offers tuition reimbursement, but I need money upfront. I've already been accepted in a BS Mechanical Engineering program as a Senior and will start this fall.  Thanks.",-1
"  Borrower added on 11/14/13 > Thank you for approving my loan I plan on using the funds to pay off my credit card debt. I have been paying this debt for years but it never seems to go down. When it comes to paying my credit cards, I have never missed a payment. I have a great job and have been there almost 13 years<br>",-1
"  Borrower added on 12/29/10 > This is a loan for assistance to bring a new life into <br/>our family and the world.<br/> Borrower added on 12/29/10 > IVF. We are hoping to become first time parents.  Borrower added on 12/30/10 > We want to thank everyone for the support so far. Happy New Year.<br/> Borrower added on 01/01/11 > The IVF procedure we have signed up with gives us 3 tries at no additional cost. Although, each trip to New York for ten days, we have to pay hotel charges. We hope we are blessed the 1st time around.<br/>",-1
  Borrower added on 09/07/13 > To pay out outstanding credit card debts.<br>,4
"  Borrower added on 01/29/13 > This loan is used entirely to pay off my credit cards.  I always pay more than the minimum, but they seem to be going do very slowly.  The minimum payment here is much less than that of the cards combined.  I have a stable job and hope to pay this loan off in less than the three years!  Thanks!<br><br>  Borrower added on 01/30/13 > This loan is used entirely to pay off my credit cards. I always pay more than the minimum, but they seem to be going down very slowly. The minimum payment here is much less than that of the cards combined. I have a stable job and hope to pay this loan off in less than the three years! Thanks!<br><br>  Borrower added on 02/02/13 > Just a quick note of thanks to everyone who is willing to invest in my loan.   I appreciate it.  Knowing that this is coming from ordinary folks like me who can choose to invest their money elsewhere makes me all the more appreciative.  Thanks to each of you!<br><br> Borrower added on 02/03/13 > I didn't have enough space to finish the answer to the investor's question.  Please reask so I can complete.<br>",1
  Borrower added on 07/11/12 > I bought a house about a year. I needed to make repairs and furnish it. Unfortunately I ran out of cash and had to rely on credit to finish the project my fiancee and I started. I now I would like to have just one payment a month to pay down my debt. This loan will help greatly.. Thanks<br>,-1
"  Borrower added on 07/14/10 > I am the Power of Attorney for my Father's Estate (Living) and is in the process of renovating his house but I am using my credit accounts. I have full control of the $4,600 he gets per month from directly deposited SS, Retirements and Disability. This adds to my $182,000 work salary. I plant to pay my AMEX $10,000 and the balcne on Capitol One and Chase Credit cards. These are the cards that I use to perform work during renovations<br/> Borrower added on 07/15/10 > I am a good borrower because I value my credit and credit score. My score temporarily does not reflect my highest credit worthiness primarily because of the recent use of my credit account to fund the renovation of my father's house...but there are NEVER any missed payments<br/> Borrower added on 07/15/10 > Also...to explain my current situation...I had an unexpected shop repair bill for my Lamborghini in the amout of $26K<br/>",1
  Borrower added on 02/17/13 > Payoff 100% of unsecured household debt leaving only mortgage and auto loan.  Consolidation will allow me to increase retirement investments and remain debt free.  Thank you for your consideration in my families future.<br>,-1
  Borrower added on 12/03/12 > Need to pay off credit cards so that we can start to save money.<br>,-1
  Borrower added on 02/03/12 > I am using this loan to pay off and cancel my B of A card. Too many issues with them to say here. I will be able to make my monthly bill lower from my other cards with less interest and easier to pay off sooner. <br>It will help me to move in to a new place and fix my vehicle.<br>,1
"Borrower added on 06/27/11 > This loan is help sell my house which will cover broker fees and closing costs. Once the house sells (it is under contract now) my total debt (including this loan) will be $44,000. My total salary is $110,000 per year so this will help me meet my goal of being debt free in 14 months. I have a credit score of 735 and no late payments... ever. I have been employed with my current employer for 3 years and 6 months.",-1
  Borrower added on 08/22/13 > Debt consolidation from new home purchase. Recently purchased a new home that needed some upgrades.<br>,2
  Borrower added on 09/24/12 > this loan is to pay off all of our credit card debt<br>,1
  Borrower added on 03/01/13 > to pay-off credit-card debt and get our bubget under control agian so we can live<br>,-1
"  Borrower added on 03/05/13 > i use my loan to pay off my credit card ,and other debts<br>",1
  Borrower added on 02/21/13 > Debt Consolidation and business improvement<br>,2
  Borrower added on 07/20/12 > Debt Consolidation<br>,2
  Borrower added on 02/16/12 > Replacing the privacy fence (approx 160ft) surrounding my property.<br>,25
Purchase a 1997 Harley Davidson Road King with 7500 miles.  Current value of motorcycle is $11250 according to KBB and doesn't include approximately $1500 of additional accessories that were installed by the current owner.,28
  Borrower added on 06/19/13 > debt consolation<br>,2
  Borrower added on 11/18/11 > wish to use loan partly to consolidate bills and a family vacation<br> Borrower added on 11/22/11 >  I have work @ the same company for 13 year now. (1998 to 2011)<br>I have been able to build up a little saving in my company 401k plan<br>i have also built up a little equity in the home i am currently own a mortgage on and come 01-00-2012 will be 2 years @ my current resident  <br>,-1
"Borrower added on 07/26/10 > I am a Pharmacist working at an established Hospital with a monthly net income over $6500.00.  I am mature and financially conserative.  My net monthly savings after all expenses is over $1400.00, and will have an additional $200 monthly saved when factoring in the 9% reduction in interest rates versus my current credit card interest APR.<br/>",-1
  Borrower added on 05/30/13 > To pay credit card with higher rates<br>,-1
I plan to use this money to buy an engagement ring for my girlfriend.,27
  Borrower added on 10/12/13 > To pay off high interest credit card loans<br>,-1
  Borrower added on 07/18/12 > Paying off high interest credit cards<br>,3
  Borrower added on 06/28/12 > I had to place the last semester of college on a credit card. this is the remaining balance that I am currently having trouble paying off.<br>,-1
"  Borrower added on 09/12/13 > debt consolodation,credit card payoffs<br>",0
  Borrower added on 10/19/12 > The loan would be used towards the purchase of a plane tickets and expenses to a trip to Nicaragua and also to cover some bills while Im gone. Thanks.<br>,1
  Borrower added on 08/02/13 > Consolidate my credit cards<br><br>  Borrower added on 08/02/13 > Consolidate my credit cards<br><br> Borrower added on 08/02/13 > debt consolidation<br>,-1
  Borrower added on 01/24/14 > to consolidate my debt<br>,2
  Borrower added on 06/26/12 > money will be used to purchase existing business<br>,-1
"  Borrower added on 04/30/13 > I am currently renting my home, but would like to own, so our landlord is giving the option to rent/lease to own at the end of the year. I am using this loan to landscape, as most of the outside is unfortunately sand, and in desperate need of plants, trees,flowers, and grass.<br>",10
  Borrower added on 06/22/13 > I would like to pay down my debt and start building a savings.<br>,-1
  Borrower added on 10/06/12 > I have a few Credit cards that i want to pay off due to their interest rate.<br>,0
  Borrower added on 03/14/14 > I need to consolidate some of my debt and pay it off in a shorter amount of time.<br>,0
  Borrower added on 08/26/11 > vacation to myrtle beach for labor day weekend.<br/> Borrower added on 08/26/11 > I have worked for the same company for almost 10 years and need some cash for a vacation<br/> Borrower added on 08/29/11 > Thank you!<br/>,-1
"The time is right to expand my successful Production and Post Sound business.  During the past several years I've created a trusted and solid reputation for myself in the the worlds of Television and Film. I continue to work successfully in Production and Post Sound with award winning clients including; American Film Institute, Bravo, Discovery and National Geographic.  I've refrained from adding credits to maintain anonymity, as my IMDB is quite extensive.  I am the go to Production and Post Sound Expert for many A-list and well known film makers.  My clientele base has grown steadily and I need to purchase a few pieces of equipment to keep up and reduce my overhead.  The elimination of that overhead will allow me to competitively bid on films and television shows, whether their budgets be large and more importantly small. The reduced need to Rent equipment to conduct business will give me access to a much larger market; specifically the myriad of independent films, reality television shows and documentaries produced in today's economy  Thank you and All my best.",-1
  Borrower added on 12/30/13 > I need to pay off my mother funeral bills and credit card debt<br><br> Borrower added on 12/30/13 > I need to pay off funeral bills and credit cards<br>,-1
"  Borrower added on 09/15/13 > We recently purchased this home and will utilize the funds to upgrade and update interior and some exterior elements.   The loan will come in very handy now.   The 60 month feature is attractive, but we won't likely keep the loan open that duration.<br>",1
  Borrower added on 03/05/13 > I want to pay off all my credit cards and have one payment.<br>,0
"  Borrower added on 03/05/14 > I have a trucking company, its new just open, I need some working capital.<br><br> Borrower added on 03/05/14 > I just open a new trucking company. I need some working capital. My job is very stable.I have money to be able to pay back this loan without a problem.Like any other starting bussines need money to succed, that is why Im applying, Also my credit its very good.Soon I will be able to expand bussines.<br>",1
  Borrower added on 01/07/13 > Fully funded this loan would allow me to consolidate all existing credit card/loan debt I have and would cut my monthly payments in half which would allow me to pay off the loan in possible as little as 1/3 the total time<br>,-1
"  Borrower added on 10/09/12 > security expense, and to pay off bills<br>",9
  Borrower added on 06/24/11 > Thank you for taking the time to invest in my loan! This site is great. I'm using this loan to just bring together two payments at this lower interests rate. I clearly have the credit and cash. Thanks again for your help!<br/>,1
"  Borrower added on 06/06/13 > I am planning on purchasing a house in a year or two and would like to consolidate all my credit card debt. After I received my second letter from Lending Club, I decided that it was a smart decision to build my credit and pay off my debt,<br>",-1
  Borrower added on 01/13/14 > pay off credit cards and keep only one<br>,-1
  Borrower added on 06/14/13 > Would use funds for home improvements. Jhave steady employment be at job for 10+ yrs.<br>,18
  Borrower added on 08/18/10 > I have a steady job and have had a history of being a good barower. My intention is to pay some bills off and to repay my loan as soon as possible.<br/> Borrower added on 08/18/10 > I have a secure position at my company. I plan to use the loan to pay off some immediate bills.<br/>,-1
  Borrower added on 09/10/13 > consolidate credit card and auto mobile repairs<br>,0
 Want to Consoladate credit cards ,0
  Borrower added on 03/17/14 > I am moving and need additional funds<br>,12
  Borrower added on 11/10/13 > PAY OFF OTHER CREDIT CARD AND PERSONAL LOAN AND HOME IMPROVEMENTS<br>,0
  Borrower added on 09/23/13 > I looking to start a new business and need some start up capital.<br>,8
  Borrower added on 09/25/12 > Lower my monthly payments by paying off credit card balances.<br>,-1
"  Borrower added on 01/02/14 > This loan is mainly to consolidate higher interest credit card and other department store card, and also the ease of payment management. At the same time also improve credit score paying off revolving debt before planning to acquire a new car with better car loan financing offer.<br>",1
  Borrower added on 12/30/11 > I am looking to consolidate credit cards to have one lower payment.<br><br>  Borrower added on 12/31/11 > I also need to payoff taxes both federal and state.<br>,0
  Borrower added on 12/03/13 > to pay off credit card debt<br>,3
  Borrower added on 03/12/13 > To get myself in a good position so I'am able to pay off all debt by using the debt snowball technique. and in return be able to help people like myself to get out of debt and stay out. like paying it forward.<br>,4
"  Borrower added on 07/09/10 > I will be paying off payday loans closed credit accounts and money owed to so many people Right now my account is negitive and I am a mess please be real.<br/> Borrower added on 07/10/10 > I must also say that I am very true to my words.  I pay my bills and when I was a younger girl the concept of a credit card was like free money.  I wanted I bought.  The balance became too much.  I tried consolidation groups since 2000.  I had a credit outstanding of over 42,000.00 on two cards at that time.  I am now down to 6300.00 remaining but I dropped out the consolidation group because I would pay my money and the banks and consolidation group would hold my money as long as they could jacking up my interest.  It was bad.  So lfe goes on and I rack up other bills trying to get rid of the bills I have had.  Vicious circle and I just want one bill so I can have peace of mind and sleep again.  My life is a mess right now and only I can fix it with of course the help you your lenders.  Please help me.  The banks certainly don't.<br/> Borrower added on 07/10/10 > Does it matter if I fix my spelling errors.  I type for a living, too.<br/> Borrower added on 07/12/10 > My ultimate goal of buying a home will not be immediate, but right now it's not even within reach.  It is amazing to me how I have tried to do the right thing my whole life and it doesn't work out for me.  I could have claimed bankruptcy 10 years ago and it would have been erased off of my credit report by now but I am true to my word and although I tend to loose my way a little bit at times I know what the right thing is.  I do not know how I stumbled across this site but it makes me feel good to know that there are people out there who generally still care about other people.  It warms the soul.  I am now dedicated to this and will pay it forward in my future.  I thank you all for your help.<br/>",1
  Borrower added on 01/13/14 > pay loans off and credit cards<br>,3
  Borrower added on 03/16/12 > Chev truck trailer<br>,33
"  Borrower added on 08/17/12 > To consolidate bills, to fix my wifes car<br><br>  Borrower added on 08/21/12 > My loan is to payoff and eliminate my credit card debt, and to repair the transmission problem in my wives vehicle. Thank you for your time.<br>",-1
  Borrower added on 02/29/12 > I am looking for funding to consolidate my debt into a lower APR. I have not missed a payment in at least 7 years but still pay horrible interest rates due to a bad decision to start up a company using credit over 10 years ago. Needless to stay I will never make that decision again.<br>,-1
  Borrower added on 09/28/11 > I'm going to use the capital to fund a small iphone collections business.<br/> Borrower added on 10/01/11 > I have never missed a payment in my credit history for 9 years<br/>,1
  Borrower added on 09/23/13 > Debt Consolidation and pay off bills<br>,-1
  Borrower added on 03/21/13 > for legal matters<br>,5
"  Borrower added on 08/26/13 > I am consolidating my debt.  Had alot of medical expenses, new roof all that I had to do.  This way I am paying it off and saving alot of money.<br>",-1
  Borrower added on 03/12/14 > I am consolidating my debt with this lower interest rate.<br>,-1
  Borrower added on 04/25/13 > Pay off credit card debt<br>,3
"  560409 added on 10/20/09 > I have been employed with my employer (Verizon Wireless) for over 5 years. Verizon Wireless is a stable company and has been throughout this entire recession. I have a finance degree from Penn State University. I have good credit and have always paid all of my bills in a timely manner and have never exceeded the credit limit. I am financially responsible. I am wanting to consolidate my debt with this loan so that I can save money on interest. Thank you. 560409 added on 10/21/09 > If anyone has any questions they would like to ask, please do not hesitate to post a question and I will respond asap. Thank you. 560409 added on 10/24/09 > I was made aware of Lending Club via Lending Tree. Thus far, Lending Club has proven to be a solid and great way to not only borrow, but to invest. Therefore, I have recently become an investor and I am looking forward to investing in an organization that has revolutionized the way we can not only borrow but invest. I had many options that were presented to me to borrow from traditional banks, however Lending Club has proven to be the most innovative and productive way for qualified borrowers to receive loans and also for investors to really increase their portfolios, especially during this tough recession. 560409 added on 10/25/09 > Thanks to all of the investors who have invested money thus far, I greatly appreciate it.",-1
  Borrower added on 10/13/12 > This loan is for personal use mainly for a family vacation this coming Holidays and to also use this for some repairs to our home.<br>,1
"  Borrower added on 08/22/13 > I am using this loan to consolidate the cost (and lock in a rate), of having to pay out of pocket for a cross country move back to my home state. After three year of missing family and friends, a better career opportunity presented itself making it all worth it!<br>",-1
"  Borrower added on 07/09/13 > I am a solid credit rated borrower who has a stable career that will be using the funds to consolidate debts into one, lower monthly payment.  I also a a responsible individual who consistently pays my bills / loans on time.<br>",1
"  Borrower added on 11/29/11 > ...my home is a new construction home, a year old now; I chose to not have the backyard sodded and rejected the builder's <br><br>fairly plain patio upgrade.  So, as I mentioned in the title, I pretty much have free reign to do as I please.  It's been a <br><br>year now and it's time to get moving on it; there's 2000 square feet of nothingness back there.  I've applied the <br><br>appropriate herbicides to clear the wild brush and I've tilled and turned most of the land myself.  Now I need materials <br><br>and resources.  I'm currently taking bids for small pools.  Not sure if I'll go that route as they can get quite expensive, <br><br>but it's a bit of a dream.  I'm definitely doing a paverstone covered patio and some serious landscaping.  A moderate <br><br>fountain/pond is in the plans, as well. <br><br>I'm a good borrower because the trend of my life over the past five years would indicate such.  Five years ago, my credit <br><br>score was very poor.  It's currently plenty good enough for my listing to be accepted.  I've worked very hard since a short <br><br>tenure of financial ignorance to establish my creditworthiness.  I keep track of every dollar.  I can tell you the <br><br>remaining balances on all my debts, when payment on them is due, and the minimums required.  <br><br>I'm comfortable in the $650.00 payment range.  The initial lending club offer when I submitted my data was $25000.00 for <br><br>five years, paying $638.00 monthly.  I chose the alternate three-year, $20000.00 offer, paying $668.00 payment because it <br><br>just seemed like a better situation for all, including investors.<br><br>I've been in the same industry for four years now.  Work is stable and is expected to be for some time to come.<br><br>Thank you all for your consideration.  I'll try to answer any questions quickly and effectively.  <br>",10
  Borrower added on 04/26/13 > I would like to pay off credit cards and some other loans and consolidate. I anticipate paying this loan off in 2 years.<br>,0
  Borrower added on 09/08/13 > Debt consolidation with credit cards.<br>,0
  Borrower added on 01/23/14 > I have $6000.00 in credit card debt &amp; I wish to consolidate it into one payment through Lending Club.<br>,-1
"  Borrower added on 01/09/14 > I am going to consolidate debt at this lower, fixed interest rate.<br><br> Borrower added on 01/09/14 > consolidation loan<br><br> Borrower added on 01/09/14 > I will be using this loan to consolidate debt<br>",-1
"  Borrower added on 06/21/12 > I would like to consolidate some credit card debt and pay off my other Lending Club loan.  <br><br>I have a very good history with Lending Club and I am available to answer any questions you may have. Best Regards,<br>",1
  Borrower added on 12/28/12 > My loan is for debt consolidation.  It would be easier to make one monthly payment than several.<br><br> Borrower added on 12/28/12 > Debt consolidation.<br><br> Borrower added on 12/28/12 > I would like to use the money for debt consolidation.  It would be easier to budget one payment a month versus many.  I know the importance of maintaining good credit.  My goal is to be debt free.  I have worked at my company for 23 years and I feel I have great job security.<br>,-1
"  Borrower added on 12/11/12 > I would like to consolidate all my debts ~20k of credit card + 2500 of personal loan into one loan w/ on monthly payment.<br><br>  Borrower added on 12/20/12 > Time change, and thank goodness for the better. I carried a credit card balance while helping start a business. Now things are stable, and I can concentrate on debts. Consolidating is step 1.<br>",-1
  Borrower added on 06/27/12 > just consolidating debt<br>,2
  Borrower added on 10/31/11 > Busy tax office is seeking working capital. The tax season is just around the corner. I am in need of a loan to help with operating expenses and marketing campaigns. The business has been established for over 6 years and service over 1500 clients during the tax season. The business is definitely on a growth path.<br/>,1
"  Borrower added on 05/11/10 > Need expansion capital for internet based advertising business venture.<br/> Borrower added on 05/12/10 > The loan is to be used for marketing capital for launch of a website.  The site is built and ready to be released to the public but I am lacking marketing capital to launch it currently. The funds will provide the initial 4 month marketing budget to launch the site. This business is a start-up business in an already established market that has the potential to generate $25,000 daily on a conservative level with proper advertising.<br/>",8
  Borrower added on 03/13/14 > I am wanting to pay off all debt with a projected time line and goal.<br>,-1
"  Borrower added on 02/17/13 > I had to pay a few huge vet bills on my credit cards and the bills got out of hand. Now my dog is better, it's time to pay them off at a lower interest rate.  Thanks for the help!<br>",0
"  Borrower added on 02/14/12 > Like to consolidate all my credit cards into just one payment, I pay always on time and more than minimum<br><br> Borrower added on 02/14/12 > I would like to pay all my credit cards as so I just have one bill. I always pay on time and more than the minimum<br><br>  Borrower added on 02/19/12 > Please give me the opportunity I know that you won't regret it I'm good paying customer I have a steady job and above anything I always alway pay on time<br>",-1
"  Borrower added on 06/22/12 > Pay off credit cards used to pay for college education, weddings, and emergency car expenses.<br>",3
  Borrower added on 03/30/12 > consolidation of all credit cards into one monthly payment at a fixed rate<br>,0
"  Borrower added on 07/13/10 > I am paying off a very high interest rate loan I got with Cash Call-$2500 and also the Citifincial loan-$5000 that has a higher rate and longer loan term.  I will be employeed with my current employer 11 years this October.  The $180 I will be saving paying off the two above debts, will let me save more monthly.  I am a good borrower because for the last three years I have been more responsible in paying on my debt on time.<br/>",-1
  Borrower added on 04/03/13 > i would like to consolidate loans.<br>,0
  Borrower added on 10/07/12 > Debt consolidation and home improvement<br>,2
I just bought a new house and I have a bought a cheap little car to drive everyday.  Now I would like to pay off everything else and consolidate everything into ONE payment.  I only get payed once a month and it would just be easier to get everything into one payment and lower my interest so I can actually pay it off rather than just making the minimum.  I recently borrowed from lending lcub and it has really worked out.  Now if I can put everything into one payment would be terrific.  Help if you can.  Thanks,-1
  Borrower added on 04/16/13 > Debt consolidation.  We have several higher intreats rate cards that make it very difficult to get ahead.  By consolidating at a much lower rate we are going to be able to pay off our debts and be in a much better financial position.<br>,0
  Borrower added on 04/03/13 > To consolidate my credit card bills .<br>,4
"  Borrower added on 12/06/12 > Mortgage is 5% 1809.00 loan balance is 259000.00, three major credit cards with balances less then 6000.00 with an average interest rate of 22%. Hope this helps you.<br>",-1
  Borrower added on 01/22/14 > Credit card loan consolidation.<br>,0
  Borrower added on 12/13/13 > Debt Consolidation.<br>,2
