desc,label,bert_risk_score
  Borrower added on 03/06/12 > These funds will be used to pay off some of my bills as well as helping out my relatives.  I always pay in advance and have never had any late payment issues in the past.  I have a stable job with yearly salary increases.  I have been at this current job for 5 years.<br>,0,0.34191963
"Quite simple- want to use the proceeds to find the down payment on the house two doors down from mine.  It is HUD owned and they want 20% down, but the asking price is very attractive.  Currently earning $72,500 salary in the very stable IT field as a Senior Systems Engineer.  Also getting $2,400/mo in rental income from two previously owned homes that I just counldnt bring myself to sell.  Very low debt in consideration of income.",0,0.3412937
  Borrower added on 03/01/13 > Payoff debt and have peace of mind with one monthly payment.<br>,0,0.34375983
"Purpose: I am in my last year of college and would like to be able to focus on studies as opposed to having to work as well as I have done in the past.  My financial situation:  I worked over my winter break and am expecting a good amount of money from my tax return, but it still will not be enough to get through the semester. I currently also have another loan out from Prosper that I expected to have paid back already, but due to some family issues this past summer I was not able to work as much as I was hoping to. I plan to repay the Prosper loan and some credit card debt with the money that I receive from this loan.",1,0.34092575
"  Borrower added on 05/04/10 > This will be used to consolidate my higher interest rate credit cards (19% and 24%) and get them paid off.<br/><br/>I have a very secure job, an annual bonus of 20% of my salary, and can guarantee I will not default on this loan.<br/>",0,0.34176925
  Borrower added on 01/22/14 > This loan will decrease my payments and I would like to pay off my existing loan. I would also like to pay off some bills that I have accumulated during the holiday and from some unforseen expenses. Thank you.<br>,1,0.34220684
"  Borrower added on 09/02/11 > The loan I've applied for will only be needed short term to reorganize current high interest debt (credit cards accounts, etc.), since I will be withdrawing money from invested savings to cover the balance of this loan and other unsecured debt as needed.<br/>",0,0.34192622
  Borrower added on 08/19/11 > payoff backed up house bills due to personal problems. want to get back on track without having it hurt my credit<br/>null,1,0.3430987
  Borrower added on 07/19/12 > visiting my mom in florida<br>,0,0.34472784
"  Borrower added on 02/22/13 > My loan is to consolidate some debt and take care of some bills that popped up unexpectedly. If there is enough money left, I want to surprise my wife and take her away for our 10th Wedding Anniversary.<br>",0,0.34243762
  Borrower added on 08/16/12 > To consolidate other loan I have and pay down debt I have on credit card and paint my apt.<br><br> Borrower added on 08/16/12 > To pay off other loan I have and pay down credit card debt basically consolidating.<br>,0,0.3420376
  Borrower added on 12/21/09 > I have always paid my payments on time. I will be a sound investment because I will be lowering my interest rate on an amount I am already paying on!<br/> Borrower added on 12/21/09 > l<br/>,0,0.34212977
"  Borrower added on 08/01/12 > I have some savings towards my home improvement project, and just need a little more to get everything done.<br>",0,0.34334654
  Borrower added on 02/17/14 > pay off amex cc<br>,0,0.3442634
  Borrower added on 01/24/12 > I want to say thanks to all of you that have funded my loan thus far.  You will be repaid someday.  Thanks.<br>,0,0.34303448
We need a downstairs bedroom for my Step Daughter that has CP. Taking her up and downstairs is getting harder now that she is getting bigger. ,0,0.34282255
  Borrower added on 03/18/14 > To  pay off and cancel all credit card and loan dept.<br>,0,0.34385833
  Borrower added on 12/03/12 > I currently have a daughter in college and it has been hard to pay my credit card down as they have saddled me with a very high interest rate.  I would like to use this loan to consolidate my credit cards and get this debt finally paid off. Thank you for your consideration.<br>,0,0.34192684
  Borrower added on 08/01/13 > Finally here comes the house that i wanted for my family.<br>,1,0.34391892
"  Borrower added on 01/06/11 > My wife and I have taken a hard look at our finances and wish to consolidate the consumer debt (credit cards) we've accrued. This debt is a product of juggling jobs and grad school. We are both making $40k each now as educators but the credit cards are really nagging us.<br/><br/>I compared our balances and rates, did the math, and decided that this P2P loan would be our best bet for reducing credit card debt consistently. We have really cut discretionary spending and look forward to making a fresh start with this.<br/> Borrower added on 01/07/11 > Our overall mix of credit card debt comes to around $19,000 spread across four cards. The rates average to around 10%. <br/><br/>We split this into two loans so we would have to separate bank drafts and a bit more flexibility. She has the smaller share and I have the larger share. <br/><br/>Her loan is at https://www.lendingclub.com/browse/loanDetail.action?loan_id=646759<br/> Borrower added on 01/09/11 > My wife's loan is halfway funded, with 9 days to go. We're looking good. My loan needs to pick up speed so that we can accomplish our goal of paying off ALL our credit cards and focusing on this more concentrated, disciplined method of payoff. Nine days left, investors...help us turn things around! We will not let you down.<br/> Borrower added on 01/13/11 > Wife's loan has been issued, so we will be paying off $7200 worth of these credit cards and making a monthly payment to LC of $155. This loan is the other piece of the puzzle...5 days left. I am slightly concerned over the slow funding, but hope that the next few days will see a spike. We need this one to go through as well in order for our plan to be the most effective.<br/> Borrower added on 01/15/11 > It doesn't look like this loan is going to get funded. This is disappointing, as we are looking for a fresh start. My wife is 7 weeks pregnant, we just went through a very rough patch as a family, and having hope to consolidate fully get shot down is a real kick in the teeth. I don't understand it...I see other loans for much larger sums, and much worse credit, get funded quickly.<br/>",1,0.3402112
"  Borrower added on 09/01/12 > To make home improvements at lower interest rates.<br><br>  Borrower added on 09/02/12 > Home improvement: new kitchen floor; replacement of old windows.<br><br>  Borrower added on 09/04/12 > I live in a university town and an area where home prizes increase, reasonably but steadily. Because of bad storms last year, we had to replace our roof (already done) and now we will replace some windows.<br>",0,0.34127954
  Borrower added on 08/27/13 > I am trying to pay off high credit card debt with this loan.<br>,1,0.34363407
  Borrower added on 06/15/12 > I want to only be concerned with one revolving debt payment per month.  This would add so much peace of mind.<br>,1,0.34319016
  Borrower added on 12/05/12 > I've decided to lower my interest costs and have heard that this is an excellent (hassle free) lending option.<br>,1,0.34278467
  Borrower added on 05/04/13 > Restarting My Goal is to get back on track with my credit cards.  To not use them basically forget I have them and take another route to accomplish what I think I need to do.  This would be a good opportunity to cut up a couple of them and put them in the foget them bin.<br>,1,0.3418977
  Borrower added on 03/04/14 > CONSOLIDATE REVOLVING DEBT AND PAY OFF QUICKER<br>,1,0.34421605
"  Borrower added on 12/22/13 > Simply put, I've overspent and now need help digging out of the hole I've put myself in. My credit score has decreased because of my debt and I would like to improve that as well as my quality of life. This loan will make all the difference to me and my family.<br>",0,0.34146932
"  Borrower added on 06/30/10 > Loan will be used to repay money borrowed from my 401K account with my current employer.  The total money borrowed against my 401K is $24,300 and is paid by weekly with an automatic deduction from my paycheck in the amount of $265 ($530/month).  I am in a need to repay these loans as I have been offered a new job at a substantial increase in pay and will be penalized with a early withdrawal if the founds are not repaid before I leave the company.  New salary will be a 30% increase from my current salary.<br/>",0,0.3409323
  Borrower added on 12/30/11 > Pay off credit cards with high interest rates.<br><br>  Borrower added on 12/31/11 > Originally credit cards had low interest rates but when the economy took a downturn my interest rates increased even though I never missed a payment and payments were on time each month.<br>,0,0.34183037
  Borrower added on 12/12/13 > Payoff credit cards<br><br> Borrower added on 12/12/13 > Loan will be use to pay credit cards.<br>,1,0.34296682
"  Borrower added on 07/09/13 > This loan will consolidate credit card debt incurred due to unexpected personal expenses, currently at a 20% interest rate. I have previously taken out two Lending Club loans and repaid both ahead of schedule.<br>",0,0.34239885
  Borrower added on 09/04/12 > I want to be debt free ASAP!<br>,0,0.34427127
"  Borrower added on 12/11/13 > This loan would allow me to refinance my credit cards, particularly those with a very high interest.<br>",0,0.34297505
  Borrower added on 07/30/13 > would like one payment and to pay off credit cards<br>,0,0.34391758
  Borrower added on 02/12/14 > Payoff HSCB credit card and paydown on discover credit card<br>,1,0.34380335
"  Borrower added on 03/04/13 > I'd like to consolidate my credit card debt.  My goal is to get my finances in order, establish as savings and position myself to to be able to purchase a home in the near future.<br><br>  Borrower added on 03/05/13 > I noticed a typo.  But in a nut shell, I'm simply looking to consolidate and eliminate my credit card debt for good.<br><br>  Borrower added on 03/06/13 > I want to thank all of my current investors.  I'm now less than 30% away from starting my path to financial freedom.  I'm very excited for it.<br>",0,0.34096602
"  Borrower added on 12/24/13 > I am a professional with a stable, significant employment who would like to consolidate a couple of my credit cards to improve my credit score while paying off my bills and saving for a home by the end of the year.<br>",0,0.342329
  Borrower added on 12/01/12 > My goal is to get rid of my credit card debt.  I have 3 cards w/high balances. It will take such a long time to pay them off off just paying slightly more than the min pmt.  This loan will allow me to close the CC accts and eliminate the debt in just 5 years and will save me thousands of dollars.<br>,0,0.3415289
"  Borrower added on 01/16/14 > Looking to consolidate.  I work hard, pay my bills on time.  Hoping to get one payment to be on my way to being debt free.  Thanks for time and consideration!<br>",0,0.34273884
  Borrower added on 03/24/13 > to make home improvement to sale home faster<br>,1,0.3440953
  Borrower added on 07/05/13 > The loan is for a loan consolidation to lower my monthly payments and to help save for a house.I live with my parents and pay no rent so I really have a great chence to save money and pay off most of my debt and will also help improve my credit score when I pay off so much debt.<br>,0,0.3417939
  Borrower added on 01/20/14 > I am a victim of Hurricane Sandy and I need the loan for repairs the storm did on my house.<br>,0,0.3433589
"  Borrower added on 12/27/12 > This is to pay off credit card balances<br><br>  Borrower added on 12/28/12 > My APR's on my cards are higher than the rate this loan gives so it will help get rid of excessive interest accrued and will help me pay off my balance quicker, Thank you<br><br>  Borrower added on 12/28/12 > This is a great deal and helpfull, because I will have my cc bills paid off in 3 years , and that is alot quicker than the rate I'm going now. Thanks you!!<br><br>  Borrower added on 12/28/12 > To all who are investing/lending to me, thank you so much! It helps and means alot!!<br>",0,0.34075865
"  Borrower added on 11/01/12 > I would like to consolidate my debt into one monthly payment and get rid of all the credit cards and other monthly expenses. This loan will enable me to do that. I greatly appreciate your consideration. Thank you.<br><br>  Borrower added on 11/04/12 > I would like to consolidate my credit card and other debt into one monthly payment. I have about 30K and total payments are about $1000 a month. I can make the payments and evn put more down each time. This loan will enable me to have one monthly payment and I can eliminate my debt fast. Thank you!<br><br>  Borrower added on 11/07/12 > I have made some bad decisions in the past when it comes to finance and now I would like to correct them. I can assure that I will not make this mistake again and have a goal to payoff this debt with this one monthly payment with a lower interest rate then all of my debt combined.<br><br> Borrower added on 11/07/12 > Total expenses for the month that I have are as follows:<br>Car/Insurance $462<br>Phone/Utilities/Internet/Cable $474<br>Rent $400<br>Food/Gas $500<br>Other Misc Expenses(gym,kids activities) $300<br>Debt (credit card and other) $1200-$1800<br>This shows you that I can make the monthly pmts &amp; pay this off.<br><br>  Borrower added on 11/08/12 > I greatly appreciate your considiration and you would be helping me pay off my debt quicker with a great rate of return for you.<br>",1,0.34033397
  Borrower added on 04/01/13 > I will be using these funds to consolidate credit cards. This will save money and time to say the least. I am a good borrower as you can see by viewing my credit report. I have never been late on any loan or credit card payment. This will fit my budget as my income is plenty and my job very secure.<br>,1,0.34174237
  Borrower added on 05/05/13 > I want to pay my mortgage down so I can refinance it at a better rate.<br>,0,0.34319672
  Borrower added on 03/30/13 > Doing home improvements prior to selling a home.<br>,0,0.3439126
"Borrower added on 07/11/12 > I'll use the money for some auto repairs, credit card dept. and take a vacation. I don't have any mortgage payments or car loans.<br>My monthly debt. for bills food ect. is $700<br>I pay me bills on time.<br>",0,0.3419895
Will be investing in my father's business.,0,0.34514216
"  Borrower added on 07/23/13 > I just want to cancel my credit card accounts, and consolidate them all into one loan.<br>",0,0.34349126
  Borrower added on 05/29/12 > Thank you to everyone that has contributed to my loan so far!  Please know that I have been working for the Federal Government for over 20 years and that I am a good credit risk in that I am able to pay more than the minimum amount for my monthly payments.<br>,1,0.34207064
"The purpose of the loan is to pay off current high interest credit cards and pay off my debt.  For the first time in my life, I was unemployed in 2001 (last recession) for 8 months and used credit cards to pay expenses.  I chose not to file bankruptcy as I felt responsible to pay my debts. A few collection accounts (paid) from 2001 adversely affected my credit score for the past 7 years which meant the credit card APR's were high and paying down the debt was difficult.  Despite making more than the minimum payments;  making steady payments; and having a stable job (professional) and residency, my credit card/loan accounts are with the now notable BIG three banks.  In January of 2008, one of the banks raised my APR without providing a reason in writing!  I received a letter, but it only stated my APR would increase.  First I was told it was because of an adverse credit report and when I checked into this, it was not accurate.  Over the course of a year, when I requested to have the rate returned to the previous APR or reduced, the request was refused.  BUT, they were more than willing to offer me a ""great deal"" where they would give me another credit card at a low interest rate!!  I refused and when I did the research, I discovered that this was a new tactic being used where the higher interest credit card account would have been closed and opening another account would have adversely affected my credit score (thus further indebting me to that bank)!!!!  This offer occurred when my credit score improved as the collections accounts from 2001 were no longer on my credit report......It is important to note that one of my bank card holders raised my credit limit at a time when banks were lowering credit limits and the bank that raised my APR, never lowered my credit limit......I'm not a high risk, I'm a cash cow and enslaved to the BIG Banks!!  Help!!!! ",0,0.3403255
  Borrower added on 12/27/11 > out-of-network hospital expenses.<br>,0,0.3443396
  Borrower added on 10/07/11 > I'm just looking to re-finance the loan I already have with Lending Club since I was offered a significantly better interest rate.<br/>,0,0.34261322
  Borrower added on 07/08/13 > To change bath tub and tiles in main wash room<br>,0,0.3441644
  Borrower added on 02/07/14 > This loan is so I can pay off all my debt at once to improve my credit score so I can buy a home! This will decrease my debt to credit ratio so I can move forward and prepare for my future.<br>,0,0.34224418
"  Borrower added on 11/27/12 > To pay off all credit card accounts except American Express and Chase Visa. While I would easily be able to pay off a fixed loan, credit cards seem to be impossible to eliminate. This loan would eliminate a great deal of stress for me. Thank you for your consideration.<br><br>  Borrower added on 11/27/12 > This loan would be to pay off all credit cards and close all but my American Express. I have been employed for over 5 years and have not had an late payments in that time. I am paying about $800/month on these cards and seem to be getting nowhere on paying them off. This loan would be a huge relief.<br>",0,0.34086454
"  Borrower added on 09/16/10 > Money will be used for debt consolidation, as well as emergency money for a vacation to The Philippines.<br/>",1,0.34324002
  Borrower added on 11/16/12 > this loan is to pay off high intrest credit<br>,0,0.3437165
  Borrower added on 04/21/13 > I plan to use this money for debt consolidation of higher interest accounts. I have had the same stable job for 23 years. I am refinancing my home which will lower my house payment from $2220 to $1800 so budget will not be an issue with this loan.<br>,1,0.34187883
"  Borrower added on 06/22/10 > looking to spend about 1/2 on an engagement ring and the other half to get rid of 3 credit card balances.... no end in sight for overtime at work so invest at ease, i have never made a late payment on my car loan or rent or any credit card/utility bills (at least the past 7 years). i currently live with my parents and dont pay rent so its easy right now to make payments<br/> Borrower added on 06/25/10 > almost there... thanks everyone so far. again, this is easy money for you to make, i have a very steady job with a credit score over 700 and am just looking for some breathing room and a special proposal :-)   I have a monthly income of  $2,500 so the payment should be a  breeze with no mortgage or rent to pay.   thanks again...  Joe<br/>",0,0.3406892
  Borrower added on 02/13/13 > I need this money to help with the expenses of buying a home.<br>,0,0.34365752
  Borrower added on 09/05/13 > pay off high interest credit card and have some extra money in the bank for emergency.<br>,0,0.34353912
  Borrower added on 03/12/13 > Debt payoff<br>,1,0.34470984
"  Borrower added on 01/26/10 > This funds will be used to consolidate higher interest rate credit cards.  This cards (3) will be paid off and closed.<br/><br/>By eliminating these cards, I will free up and additional $200 a month in my monthly budget (which a portion will be applied against paying down this loan).<br/><br/>I have been at my current position of employment for 3 years with no forseen danger of job loss.<br/><br/>By viewing my credit report, one can see I am a responsible borrower with good credit standing.<br/>",0,0.3409896
  Borrower added on 12/04/12 > home improvement<br><br>  Borrower added on 12/05/12 > home improvement<br>,0,0.34343344
  Borrower added on 07/05/13 > We had some medical bills from when my daughter was hospitalized a few months ago that had built up and we paid with our credit cards. We're doing this loan so that we'll pay less interest that our credit cards charge. Thanks for the consideration!<br>,0,0.34216657
"  Borrower added on 06/12/13 > replace windows &amp; siding, repair driveway,same job for 39 yrs.  lived same place for 15 yrs. healthy, no car payments, live 1 mile from work.<br>",1,0.34262273
  Borrower added on 01/07/13 > I just want to buy a KTM motorcycle to commute to work. My wife is using our company car while I am at work and I dont want to buy another car and use the money for a motorcycle which is much easier to park and to maintain.  With 300 days of sun over the year here in Denver its a fun alternative.<br>,0,0.3416789
  Borrower added on 03/04/11 > This loan will be used to consolidate my family's credit card debt into 1 payment.<br/>,1,0.3434121
"  Borrower added on 01/21/14 > I am moving out of NYC and need some cash for the move and down payment on some furniture and a car for my new place.  I have gone through Lending Club twice and paid in full before even my time was up.  I like the fact that people, not banks, are making the interest on this.  I hope you consider.<br>",1,0.34170642
  Borrower added on 12/09/13 > Debt Consolidation<br>,1,0.34492803
  Borrower added on 03/21/12 > Help me pay off and close my high interest rate credit cards. I'm a professional who is ready to eliminate my credit card debt forever. I would prefer a much lower interest rate and a date certain on which my debt will be paid off.<br>,0,0.34201562
  Borrower added on 09/10/13 > This loan is to consolidate my medical and credit card bills all into one.<br>,0,0.34350452
  Borrower added on 06/19/13 > I would like to pay off some of my high interest credit cards.<br>,1,0.34353927
  Borrower added on 02/26/13 > Hi! I helped with some family medical obligations a few years back and took on a fair amount of debt. I am currently looking to refinance those loans at this lower rate. I am more than willing to answer any questions!<br><br>  Borrower added on 02/26/13 > I have a stable job and my goal is to get out of debt as soon as possible. Thanks for your consideration.<br>,0,0.34127676
  Borrower added on 08/17/13 > To consolidate bills and make one simple payment.<br>,1,0.34397274
  Borrower added on 02/06/14 > I would like to pay off all bill - freeze accounts and have one nice sum to pay monthly.  The goal of 3 years is great and do-able.  Thanks :)<br>,0,0.34270957
"Currently I m holding very high interest credit cards and loans. I m planning to use $9,800 to pay off my debt and maintian one consolidate account. I will use another $4,000 for my family dental procedure expenses. I pay monthly apartment rent of $920 per month. I pay the current loan payments of $650 per month. I don't have any other major expenses to pay for. I m a full time employer at Comcast Cable Inc and have a stable income to pay the loan amount with out any trouble.",0,0.34112954
  Borrower added on 11/04/13 > I would like to consolidate ALL my credit card bills and my car loan. hopefully save money to bring my family on a nice needed vacation.<br>,0,0.34301123
  Borrower added on 11/24/13 > We have some high interest credit cards that have gotten a higher balance then we ever intended.  One is a airline miles one so we thought we would use it and earn miles...well it got over our heads quickly.  We learned our lesson and want to be debt free again!<br>,0,0.34195757
  Borrower added on 01/20/10 > cosolidate and lower my rates<br/>,1,0.34381786
  Borrower added on 05/07/13 > I will be using this money to consolidat high interest credit card debt.<br>,0,0.3434425
  Borrower added on 03/15/14 > pay off credit card debt<br>,0,0.34429613
  Borrower added on 02/05/14 > For my car motor<br>,0,0.34469822
  Borrower added on 08/21/13 > Loan is for a roof replacement.<br>,0,0.3441342
  Borrower added on 06/03/13 > i would like to consolidate debt to lower overall payments<br>,0,0.3438305
"I have never been late on any payments, quicker and quicker I have been getting out of debt. My wife and I both teach and we simply want to refinance and get rid of our remaining credit card debt from college. We have 2 credit cards, this one and one with a $3000 balance. We have a repayment plan but we really don't want to pay 19% on this card. I figure if they are going to jack up my interest to 19% Id rather refinance and give the interest to actual people instead of corporations. Plus Ill get a better fixed rate. Please consider funding our loan and if you have any questions feel free to ask. Thanks!",0,0.3409811
"  Borrower added on 10/29/10 > Hi all,<br/><br/>Thanks to those who have already invested, and I hope to answer the questions posed by a few of you with regards to current debt/expenses.<br/><br/>I currently have no mortgage, auto, or school loans independent of my credit/consumer debts.  I am the sole wage earner and have no children or child care expenses.  I do currently have enough in 401K to NOT take out a loan, but don't want to go the cash-out route for a number of reasons (tax purposes and retirement considerations at the very top of that list).<br/><br/>The credit debt is a mixture of consumer purchases, auto repairs, medical, dental, and veterinary bills, plus (honestly), some fun and vacation expenses.<br/><br/>I am paid an hourly rate at my primary job (employed there for 6 years, this month), and my minimum net income is approximately $3100/month and will max out at approximately $3800/month net, depending on the available overtime.  <br/><br/>Here are my approximate outstanding debts/interest rates/monthly payments (I've been attempting to pay beyond the minimum every month on the higher rates, as I can):<br/><br/>acct1 $14360 /  20.01% / $330<br/>acct2 $11873 / 16.65% /  $330<br/>acct3 $1046 / 16.99% /  $100<br/>acct4 $5846 / 22.99%/  $300<br/>acct5 $3922 / 26.24% / $150<br/><br/>TOTAL consumer debt expenses: approximately $1210/month<br/><br/>This loan would allow me to completely pay off the three highest-interest balances (&gt;20%).  Those are amazingly not penalty rates!  I do have a large sum debt, but I earn a decent wage and never submit a late payment.  This is important to me personally.<br/><br/>This loan would allow me to reduce my overall interest rates by quite a bit, and pay this down at a much more aggressive schedule, while paying slightly (~$25) less per month than I'm doing now.  As I said, I do make enough now to pay my bills on time every month, but I'm not making near enough progress, and am not able to build up decent savings beyond 401K.  <br/><br/>As a side note, I'd like to also mention that I've recently done a few things to help my myself regardless of the outcome of this loan.  I've cut my TV service and gym membership entirely (savings of $190/month) and picked up a second, part-time job this month.   This job will increase my income by approximately $500-$600/month, a positive swing in my favor.<br/><br/>That leaves the following expenses:<br/>-rent, $1075/month<br/>-gas and electric, approx $35/month combined<br/>-cell phone, approx $150/month<br/>-internet, $30/month<br/><br/>TOTAL monthly expenses (consumer debt listed above included): approx $2500/month<br/><br/>There hasn't been a great deal left after groceries, gas/auto, and any entertainment, so as I said, it's been a challenge to save and pay this debt down at a decent rate at all.<br/><br/>I feel like this is a very doable thing for me and could do it on my own regardless, but the opportunity for the loan here would save me quite a bit of money and put me on a much more favorable timetable, and I'm very excited to get started on this and pay these debts.  Again, thanks for those who have invested their help already, and to those who have expressed enough interest to ask for more info.  Sorry for being so wordy, but I wanted to be thorough.  Thanks again.<br/>",0,0.34034935
  Borrower added on 09/15/12 > Pay off couple of high interest Credit Cards and finish paying the IRS<br>,0,0.34371445
"  Borrower added on 08/12/13 > reduce credit card debt, consolidate all payments to one payment, get a better rate for that debt.<br>",0,0.34334555
  Borrower added on 11/07/12 > Debt consolidation to get back on track.<br>,0,0.3443404
"  Borrower added on 05/03/12 > Renovations for home, repairs, addition of new AC unit<br>",0,0.3438094
"  Borrower added on 11/14/12 > My wife and I are finally getting a second car next month from a friend for 4000. I don't want to drop 4K from my checking all at once, so I'd rather get a loan and pay it monthly with a little interest.<br>",0,0.3421627
"  Borrower added on 11/29/10 > If I am funded for this loan, I will be using the money to help consolidate dates accumulated helping my elderly parents and sister, and caring for my own family as well.  .  I have been employed for 24 years at the same job, and believe in paying off debts.  This consolidation would help me accomplish this goal faster. Thank you all for your help.<br/>",0,0.34160346
"  Borrower added on 12/17/13 > I just want to pay off all my creditcards debt. I would like pay one bill monthly instead of many bills. Also, I paid over 1000 dollars each month for all my credit cards , now if i can get this loan, not only i can pay all my credit cards debts, but my monthly payment would be lesser than 1000.<br>",1,0.34169218
  Borrower added on 04/17/11 > I intend to use this loan for debt consolidation.<br/> Borrower added on 04/18/11 > I intent to use this loan to consolidate credit card debt.<br/> Borrower added on 04/23/11 > I intent to use this loan for credit card debt consolidation.<br/>,1,0.34196788
  Borrower added on 04/18/13 > I'm looking to reduce my APR from my last loan. I am a very responsible person. As you can see I have never been late in any payments from my past loans.<br>,0,0.34244558
  Borrower added on 02/18/11 > debt consolidation<br/>,0,0.34478205
  Borrower added on 08/28/13 > Pay off credit cards and a repair loan on truck.will be getting rid of the credit cards when I pay them off with this loan and not using cards anymore<br>,0,0.34281614
  Borrower added on 03/04/13 > The Above loan is to pay off hospital bills and cedit card debt<br>,1,0.3436933
"  Borrower added on 02/08/11 > Hello, I am trying to get rid of my credit cards because I do not want to always be in debt for my entire life like my parents.  My husband and I would like to have our first child within a year.  I want to be in a better place financially for our future son / daughter.  Thank you for looking at my loan and considering lending me the money to become credit card free!<br/>",0,0.3415905
  Borrower added on 01/16/14 > I plan to use the loans to payoff my credit cards bills at a lower interest rate.<br>,0,0.3433027
"  Borrower added on 06/16/12 > I purchased my home about 18 months ago, and 6 months in I had to replace the AC system.  My savings were dumped into the purchase of the home, so I had to put the AC on a credit card.  That card's introductory rate has expired and I wish to use this loan at a much lower rate to pay off the balance.<br><br> Borrower added on 06/16/12 > Six months after purchasing my home I had to replace the AC system and since most of my savings went into the home purchase, I had no choice but to put the AC on a credit card.  I wish to use this loan, offered at 1/3 the rate of my credit card, to pay off the AC system and also another small debt.<br><br>  Borrower added on 06/18/12 > Also want to add that I have a stable job, and have been employed there for the past six years with two promotions during that time.  I've never missed or been late on any bill payments.  Please invest in me with confidence.  Thanks!<br>",0,0.3404806
  Borrower added on 02/27/14 > Want to pay off credit cards<br>,1,0.3442315
  Borrower added on 02/09/14 > debt consolidation<br>,0,0.34487584
  Borrower added on 08/06/10 > For purchase of 1981 Harley-Davidson to restore.<br/>,0,0.34395397
"  Borrower added on 06/11/13 > We will be consolidating about eight thousand in credit card and vehicle loan debt. The remaining amount will be used for home renovation, including a kitchen remodel and backyard landscaping.<br>",0,0.34253567
  Borrower added on 08/16/12 > debt consolidation<br>,0,0.3447542
"  Borrower added on 01/23/14 > I would like to consolidate my current Lending Club loan and some credit card debt so I have one monthly payment.  Also, I have some legal fees to pay and this would sure help!<br>",0,0.34255493
  Borrower added on 03/22/10 > Have excellent credit and wish to buy a home. The home needs a little work but trying to be a part of the American dream.<br/>,1,0.3429471
  Borrower added on 03/18/14 > I am consolidating all my bills to have only one monthly payment to manage and close all credit card and loans.<br>,1,0.3430747
  Borrower added on 10/01/13 > Pay off high interest MasterCard and Lowes credit cards.<br>,0,0.34375793
"  Borrower added on 09/24/10 > Currently paying over 20% to one of the bigger, less scrupulous national banks. Would much rather pay interest to individual investors. My repayment history is excellent - I've never missed a payment. I can easily afford my payments now, but this loan will allow me to pay off this debt sooner and at a lower cost.<br/>",1,0.3415751
  Borrower added on 04/03/13 > i want to pay off all my credit cards<br>,1,0.34406027
